"Kod";"Jednostka terytorialna";"Kierunki wykorzystania powierzchni";"Lata";"Jednostka miary";"Wartość";
"1465038";"Białołęka - dzielnica (8)";"grunty pod wodami powierzchniowymi płynącymi";"2014";"ha";332;
"1465038";"Białołęka - dzielnica (8)";"grunty pod wodami powierzchniowymi stojącymi";"2014";"ha";23;
"1465038";"Białołęka - dzielnica (8)";"grunty zabudowane i zurbanizowane razem";"2014";"ha";2905;
"1465038";"Białołęka - dzielnica (8)";"grunty zabudowane i zurbanizowane - tereny mieszkaniowe";"2014";"ha";1161;
"1465038";"Białołęka - dzielnica (8)";"grunty zabudowane i zurbanizowane - tereny przemysłowe";"2014";"ha";578;
"1465038";"Białołęka - dzielnica (8)";"grunty zabudowane i zurbanizowane - tereny inne zabudowane";"2014";"ha";340;
"1465038";"Białołęka - dzielnica (8)";"grunty zabudowane i zurbanizowane - tereny zurbanizowane niezabudowane";"2014";"ha";119;
"1465038";"Białołęka - dzielnica (8)";"grunty zabudowane i zurbanizowane - tereny rekreacji i wypoczynku";"2014";"ha";14;
"1465038";"Białołęka - dzielnica (8)";"grunty zabudowane i zurbanizowane - tereny komunikacyjne - drogi";"2014";"ha";556;
"1465038";"Białołęka - dzielnica (8)";"grunty zabudowane i zurbanizowane - tereny komunikacyjne - kolejowe";"2014";"ha";125;
"1465038";"Białołęka - dzielnica (8)";"grunty zabudowane i zurbanizowane - tereny komunikacyjne - inne";"2014";"ha";12;
"1465038";"Białołęka - dzielnica (8)";"grunty zabudowane i zurbanizowane - użytki kopalne";"2014";"ha";0;
"1465038";"Białołęka - dzielnica (8)";"użytki ekologiczne";"2014";"ha";0;
"1465038";"Białołęka - dzielnica (8)";"nieużytki";"2014";"ha";43;
"1465038";"Białołęka - dzielnica (8)";"tereny różne";"2014";"ha";56;
"1465048";"Bielany - dzielnica (8)";"ogółem";"2014";"ha";3234;
"1465048";"Bielany - dzielnica (8)";"użytki rolne razem";"2014";"ha";334;
"1465048";"Bielany - dzielnica (8)";"użytki rolne - grunty orne";"2014";"ha";265;
"1465048";"Bielany - dzielnica (8)";"użytki rolne - sady";"2014";"ha";1;
"1465048";"Bielany - dzielnica (8)";"użytki rolne - łąki trwałe";"2014";"ha";36;
"1465048";"Bielany - dzielnica (8)";"użytki rolne - pastwiska trwałe";"2014";"ha";14;
"1465048";"Bielany - dzielnica (8)";"użytki rolne - grunty rolne zabudowane";"2014";"ha";8;
"1465048";"Bielany - dzielnica (8)";"użytki rolne - grunty pod stawami";"2014";"ha";0;
"1465048";"Bielany - dzielnica (8)";"użytki rolne - grunty pod rowami";"2014";"ha";10;
"1465048";"Bielany - dzielnica (8)";"grunty leśne oraz zadrzewione i zakrzewione razem";"2014";"ha";796;
